origin,dest,weight
Matara,Kegalle,2702
Hambantota,Colombo,24172
Hambantota,Gampaha,12815
Hambantota,Kalutara,5570
Hambantota,Kandy,2428
Hambantota,Matale,614
Hambantota,Nuwara Eliya,729
Hambantota,Galle,8341
Hambantota,Matara,22656
Hambantota,Jaffna,81
Hambantota,Mannar,68
Hambantota,Vavuniya,146
Hambantota,Mullaitivu,66
Hambantota,Kilinochchi,50
Hambantota,Baticaloa,207
Hambantota,Ampara,1717
Hambantota,Trincomalee,739
Hambantota,Kurunegala,2292
Hambantota,Puttalam,797
Hambantota,Anuradhapura,1577
Hambantota,Polonnaruwa,1270
Hambantota,Badulla,2225
Hambantota,Monaragala,17492
Hambantota,Ratnapura,17386
Hambantota,Kegalle,1328
Jaffna,Colombo,30432
Jaffna,Gampaha,5435
Jaffna,Kalutara,892
Jaffna,Kandy,1962
Jaffna,Matale,580
Jaffna,Nuwara Eliya,966
Jaffna,Galle,376
Jaffna,Matara,303
Jaffna,Hambantota,272
Jaffna,Mannar,4544
Jaffna,Vavuniya,17957
Jaffna,Mullaitivu,5917
Jaffna,Kilinochchi,7885
Jaffna,Baticaloa,2750
Jaffna,Ampara,844
Jaffna,Trincomalee,6479
Jaffna,Kurunegala,1116
Jaffna,Puttalam,6053
Jaffna,Anuradhapura,1222
Jaffna,Polonnaruwa,351
Jaffna,Badulla,893
Jaffna,Monaragala,140
Jaffna,Ratnapura,336
Jaffna,Kegalle,530
Mannar,Colombo,1754
Mannar,Gampaha,1452
Mannar,Kalutara,308
Mannar,Kandy,511
Mannar,Matale,105
Mannar,Nuwara Eliya,163
Mannar,Galle,114
Mannar,Matara,79
Mannar,Hambantota,70
Mannar,Jaffna,6828
Mannar,Vavuniya,10278
Mannar,Mullaitivu,664
Mannar,Kilinochchi,979
Mannar,Baticaloa,374
Mannar,Ampara,305
Mannar,Trincomalee,559
Mannar,Kurunegala,760
Mannar,Puttalam,15723
Mannar,Anuradhapura,1405
Mannar,Polonnaruwa,111
Mannar,Badulla,194
Mannar,Monaragala,41
Mannar,Ratnapura,115
Mannar,Kegalle,164
Vavuniya,Colombo,2055
Vavuniya,Gampaha,1452
Vavuniya,Kalutara,334
Vavuniya,Kandy,1000
Vavuniya,Matale,449
Vavuniya,Nuwara Eliya,366
Vavuniya,Galle,313
Vavuniya,Matara,170
Vavuniya,Hambantota,199
Vavuniya,Jaffna,16956
Vavuniya,Mannar,14749
Vavuniya,Mullaitivu,66194
Vavuniya,Kilinochchi,93179
Vavuniya,Baticaloa,466
Vavuniya,Ampara,402
Vavuniya,Trincomalee,1286
Vavuniya,Kurunegala,1073
Vavuniya,Puttalam,871
Vavuniya,Anuradhapura,6702
Vavuniya,Polonnaruwa,321
Vavuniya,Badulla,390
Vavuniya,Monaragala,102
Vavuniya,Ratnapura,286
Vavuniya,Kegalle,423
Mullaitivu,Colombo,512
Mullaitivu,Gampaha,464
Mullaitivu,Kalutara,93
Mullaitivu,Kandy,282
Mullaitivu,Matale,118
Mullaitivu,Nuwara Eliya,118
Mullaitivu,Galle,168
Mullaitivu,Matara,106
Mullaitivu,Hambantota,114
Mullaitivu,Jaffna,30348
Mullaitivu,Mannar,1555
Mullaitivu,Vavuniya,26913
Mullaitivu,Kilinochchi,244
Mullaitivu,Baticaloa,368
Mullaitivu,Ampara,204
Mullaitivu,Trincomalee,4455
Mullaitivu,Kurunegala,441
Mullaitivu,Puttalam,2392
Mullaitivu,Anuradhapura,833
Mullaitivu,Polonnaruwa,215
Mullaitivu,Badulla,178
Mullaitivu,Monaragala,125
Mullaitivu,Ratnapura,127
Mullaitivu,Kegalle,139
Kilinochchi,Colombo,690
Kilinochchi,Gampaha,406
Kilinochchi,Kalutara,123
Kilinochchi,Kandy,359
Kilinochchi,Matale,176
Kilinochchi,Nuwara Eliya,125
Kilinochchi,Galle,68
Kilinochchi,Matara,37
Kilinochchi,Hambantota,41
Kilinochchi,Jaffna,40704
Kilinochchi,Mannar,1564
Kilinochchi,Vavuniya,11649
Kilinochchi,Mullaitivu,491
Kilinochchi,Baticaloa,315
Kilinochchi,Ampara,185
Kilinochchi,Trincomalee,741
Kilinochchi,Kurunegala,189
Kilinochchi,Puttalam,449
Kilinochchi,Anuradhapura,312
Kilinochchi,Polonnaruwa,172
Kilinochchi,Badulla,103
Kilinochchi,Monaragala,31
