origin,dest,weight
0056,0005,100
0056,0017,100
0056,0018,100
0056,0025,100
0056,0040,100
0056,0053,100
0056,0059,100
0056,0074,100
0056,0080,100
0056,0085,100
0056,0114,100
0056,0193,100
0056,1663,100
0056,1699,100
0056,1701,100
0056,1730,100
0058,0063,100
0058,0081,100
0058,0088,100
0058,0193,100
0058,0200,100
0058,0307,100
0058,1663,100
0058,1701,100
0058,1900,100
0059,0025,100
0059,0056,100
0059,0070,100
0059,0072,100
0059,0085,100
0059,0086,100
0059,0098,100
0059,0140,100
0059,0193,100
0059,1701,100
0059,1940,100
0060,0010,100
0060,0074,100
0063,0014,100
0063,0072,100
0063,0081,100
0063,0090,100
0063,1722,100
0063,1900,100
0070,0081,100
0070,0090,100
0070,0140,100
0070,0363,100
0070,0420,100
0070,1940,100
0072,0014,100
0072,0056,100
0072,0063,100
0072,0081,100
0072,0093,100
0072,0363,100
0072,0400,100
0074,0022,100
0074,0034,100
0074,0059,100
0074,0070,100
0074,0072,100
0074,0081,100
0074,0106,100
0074,0118,100
0074,0150,100
0074,0166,100
0074,0171,100
0074,0200,100
0074,0202,100
0074,0344,100
0074,0363,100
0074,0599,100
0074,0737,100
0074,0995,100
0074,1699,100
0074,1708,100
0079,0015,100
0079,0056,100
0079,0070,100
0079,0074,100
0079,0081,100
0079,0086,100
0079,1663,100
0079,1701,100
0079,1722,100
0080,0010,100
0080,0015,100
0080,0022,100
0080,0060,100
0080,0079,100
0080,0085,100
0080,0093,100
0080,0106,100
0080,0114,100
0080,0118,100
0080,0119,100
0080,0150,100
0080,0153,100
0080,0171,100
0080,0202,100
0080,0301,100
0080,0307,100
0080,0361,100
0080,0394,100
0080,0420,100
0080,0518,100
0080,0758,100
0080,0772,100
0080,0794,100
0080,0995,100
0080,1708,100
0080,1891,100
0081,0014,100
0081,0070,100
0081,0072,100
0081,0090,100
0081,1722,100
0081,1900,100
0081,1908,100
0085,0025,100
0085,0059,100
0085,0119,100
0085,0153,100
0085,0193,100
0085,0363,100
0085,1680,100
0085,1701,100
0085,1730,100
0085,1900,100
0085,1940,100
0086,0025,100
0086,0056,100
0086,0059,100
0086,0106,100
0086,0114,100
0086,0118,100
0086,0150,100
0086,0193,100
0086,0363,100
0086,0737,100
0086,1699,100
0086,1701,100
0090,0015,100
0090,0034,100
0090,0056,100
0090,0058,100
0090,0063,100
0090,0070,100
0090,0079,100
0090,0106,100
0090,0114,100
0090,0118,100
0090,0119,100
0090,0200,100
0090,0344,100
0090,0363,100
0090,0599,100
0090,0855,100
0090,1699,100
0093,0014,100
0093,0074,100
0093,0080,100
0093,0096,100
0093,0599,100
0098,0114,100
0098,0118,100
0098,0150,100
0098,0200,100
0098,0344,100
0098,0363,100
0098,0995,100
0098,1699,100
0106,0010,100
0106,0074,100
0106,0080,100
0106,0109,100
0106,0141,100
0106,0148,100
0106,0150,100
0106,0160,100
0106,0307,100
0106,0344,100
0106,0363,100
0106,0599,100
0106,0772,100
0106,1651,100
0106,1681,100
0106,1690,100
0106,1742,100
0106,1900,100
0109,0080,100
0109,0141,100
0109,0150,100
0109,0153,100
0109,0164,100
0109,0200,100
0109,0363,100
0109,1680,100
0109,1690,100
0109,1699,100
0109,1701,100
0114,0010,100
0114,0017,100
0114,0034,100
0114,0047,100
0114,0074,100
0114,0080,100
0114,0090,100
0114,0148,100
0114,0153,100
0114,0163,100
0114,0166,100
0114,0175,100
0114,0180,100
0114,0202,100
0114,0303,100
0114,0344,100
0114,0355,100
0114,0402,100
0114,0772,100
0114,0855,100
0114,0995,100
0114,1690,100
0114,1699,100
0114,1701,100
0114,1730,100
0114,1742,100
0114,1883,100
0114,1895,100
0114,1896,100
0118,0017,100
0118,0080,100
0118,0090,100
0118,0148,100
0118,0150,100
0118,0153,100
0118,0164,100
0118,0166,100
0118,0175,100
0118,0177,100
0118,0200,100
0118,0202,100
0118,0344,100
0118,0363,100
0118,0599,100
0118,0855,100
0118,1680,100
0118,1699,100
0118,1708,100
0118,1742,100
0118,1896,100
0118,1900,100
