id,name,lat,lon
240,Sam Abbott,,
241,Centre for the Mathematical Modelling of Infectious Diseases COVID-19 Working Group,,
242,Amy Gimma,,
243,Nikos I Bosse,,
244,Christopher I Jarvis,,
245,James D Munday,,
246,W John Edmunds,,
247,Liu Yang,,
248,Xin Miao Rong,,
249,Hui di Chu,,
250,Meng Fan,,
251,Shixia Wang,,
252,Yuanji Tang,,
253,Ki M.,,
254,Choi SC,,
255,Bin Yu,,
256,Xinguang Chen,,
257,Milad Jahangiri,,
258,Mehdi Jahangiri,,
259,Mohammadamir Najafgholipour,,
260,Jin Wang,,
261,Cha Yu Yang,,
262,Ai Li Wang,,
263,Wei Ke Zhou,,
264,Yan Ni Xiao,,
265,San Yi Tang,,
266,Yiting Nie,,
267,Yaqing Fang,,
268,Marshare Penny,,
269,Zezhou Wang,,
270,Huwen Wang,,
271,Ruijie Chang,,
272,Chen Xu,,
273,Xiaoyue Yu,,
274,Shuxian Zhang,,
275,Lhakpa Tsamlag,,
276,Jinyan Huang,,
277,Ying Wang,,
278,Gang Xu,,
279,Tian Shen,,
280,Xinxin Zhang,,
281,Yong Cai,,
282,Yuelin Yu,,
283,Rusi Long,,
284,Ning-Ning Liu,,
285,Qiao Chu,,
286,Suping Wang,,
287,Xiaobei Deng,,
288,Hui Wang,,
289,Meili Shang,,
290,Lucia Russo,,
291,Cleo Anastassopoulou,,
292,Athanasios Tsakris,,
293,Constantinos Siettos,,
294,Gourav Singh Raghuwanshi,,
295,Sonal Gupta,,
296,Arnab Chanda,,
297,Y N Xiao,,
298,S Y Tang,,
299,Z H Peng,,
300,H B Shen,,
301,X Y You,,
302,Y Wang,,
303,Y J Wang,,
304,L P Peng,,
305,Z C Du,,
306,S Gilmour,,
307,D Yoneoka,,
308,J Gu,,
309,C Hao,,
310,Y T Hao,,
311,J H Li,,
312,Y Y Wei,,
313,Z Z Lu,,
314,Z J Zhang,,
315,Y Zhao,,
316,S P Shen,,
317,B Wang,,
318,F Chen,,
319,Rodrigo Gutiérrez-Aguilar,,
320,Fernando Córdova-Lepe,,
321,Juan Pablo Gutiérrez-Jara,,
322,Kiesha Prem,,
323,Nicholas Davies,,
324,Mark Jit,,
325,Petra Klepac,,
326,Katelyn Gostic,,
327,Ana Cr Gomez,,
328,Riley O Mummah,,
329,James O Lloyd-Smith,,
330,Thibaut Jombart,,
331,Emily S Nightingale,,
332,Akira Endo,,
333,LSHTM Centre for Mathematical Modelling of Infectious Diseases COVID-19 Working Group,,
334,L L Huang,,
335,P Yu,,
336,Zhao H,,
337,Song QQ,,
338,Fang LQ,,
339,Liu W,,
340,Zheng C,,
341,Zhang Y.,,
342,Jia Rui,,
343,Tian-Mu Chen,,
344,Qiu-Peng Wang,,
345,Ze-Yu Zhao,,
346,Jing-An Cui,,
347,Ling Yin,,
348,Hua Chen,,
349,Shilei Zhao,,
350,Qianqian Cui,,
351,Zengyun Hu,,
352,Junmei Han,,
353,Wei E I Sha,,
354,Zhidong Teng,,
355,Y Lee,,
