origin,dest,km,days,expense,type,weight
50020,50209,42.806,1.427,1.498,road,1498
50020,50504,44.195,0.347,0.035,coastal,35
50020,50509,84.808,0.577,0.058,coastal,58
50020,50746,23.899,0.797,0.836,road,836
50021,50260,108.38,3.613,3.793,road,3793
50021,50390,35.784,1.193,1.252,road,1252
50022,50066,422.716,2.69,0.269,coastal,269
50022,50110,97.756,0.698,0.07,coastal,70
50022,50171,68.254,0.599,0.06,coastal,60
50022,50201,173.42,1.149,0.115,coastal,115
50022,50311,160.575,1.179,0.118,coastal,118
50022,50323,158.667,1.298,0.13,coastal,130
50023,50039,219.922,7.331,7.697,road,7697
50023,50184,121.273,4.042,4.245,road,4245
50023,50219,134.608,4.487,4.711,road,4711
50023,50271,300.094,10.003,10.503,road,10503
50023,50376,160.153,5.338,5.605,road,5605
50024,50026,158.608,10.574,1.079,upstream,1079
50024,50225,86.245,2.875,3.019,road,3019
50024,50454,48.202,0.402,0.164,fastdown,164
50024,50644,46.718,1.557,1.635,road,1635
50024,50767,17.82,0.594,0.624,road,624
50025,50202,144.103,4.803,5.044,road,5044
50025,50437,248.59,8.286,8.701,road,8701
50025,50739,75.543,2.518,2.644,road,2644
50026,50024,158.608,2.44,0.539,downstream,539
50026,50170,80.267,1.605,0.546,fastup,546
50026,50766,48.921,1.631,1.712,road,1712
50026,50771,36.41,1.214,1.274,road,1274
50027,50431,104.809,3.494,3.668,road,3668
50027,50739,49.865,1.662,1.745,road,1745
50028,50192,47.703,0.734,0.324,upstream,324
50028,50254,75.948,0.759,0.258,downstream,258
50029,50214,78.763,2.625,2.757,road,2757
50029,50301,79.463,2.649,2.781,road,2781
50029,50725,252.022,8.401,8.821,road,8821
50030,50318,79.321,2.644,2.776,road,2776
50030,50757,9.332,0.311,0.327,road,327
50031,50040,69.869,2.329,2.445,road,2445
50031,50176,110.835,3.695,3.879,road,3879
50031,50250,27.356,0.912,0.957,road,957
50032,50156,87.684,2.923,3.069,road,3069
50032,50186,59.047,1.968,2.067,road,2067
50032,50365,82.115,2.737,2.874,road,2874
50033,50068,68.37,2.279,2.393,road,2393
50033,50088,131.954,4.398,4.618,road,4618
50033,50371,88.828,2.961,3.109,road,3109
50034,50004,45.801,1.527,1.603,road,1603
50034,50166,105.86,3.529,3.705,road,3705
50034,50209,42.968,1.432,1.504,road,1504
50034,50336,432.042,2.757,0.276,coastal,276
50034,50383,41.471,0.268,0.027,coastal,27
50034,50509,43.806,0.352,0.035,coastal,35
50034,50533,818.561,5.173,0.517,overseas,517
50035,50085,111.903,2.238,0.761,fastup,761
50035,50259,296.583,2.472,1.008,fastdown,1008
50035,50748,15.258,0.509,0.534,road,534
50036,50319,323.354,2.727,0.273,coastal,273
50036,50531,60.154,0.341,0.034,coastal,34
50037,50040,75.393,1.16,0.256,downstream,256
50037,50406,106.379,2.128,0.723,fastup,723
50038,50225,123.216,4.107,4.313,road,4313
50038,50719,23.756,0.792,0.831,road,831
50039,50023,219.922,7.331,7.697,road,7697
50039,50404,115.775,3.859,4.052,road,4052
50040,50031,69.869,2.329,2.445,road,2445
50040,50037,75.393,7.539,0.513,upstream,513
50040,50250,103.97,0.517,0.052,coastal,52
50040,50264,181.564,0.988,0.099,coastal,99
50040,50269,29.93,0.998,1.048,road,1048
50040,50407,193.307,6.444,6.766,road,6766
50041,50099,114.483,2.29,0.778,fastup,778
50041,50277,105.776,1.627,0.36,downstream,360
50041,50459,139.874,4.662,4.896,road,4896
50042,50171,61.409,0.447,0.045,coastal,45
50042,50172,62.184,2.073,2.176,road,2176
50042,50323,54.598,0.433,0.043,coastal,43
50043,50122,52.586,1.753,1.84,road,1840
50043,50174,67.739,2.258,2.371,road,2371
50045,50349,35.118,1.171,1.229,road,1229
50045,50753,61.461,2.049,2.151,road,2151
50046,50074,34.21,1.14,1.197,road,1197
50046,50181,28.21,0.176,0.018,coastal,18
50046,50243,49.553,1.652,1.734,road,1734
50046,50452,550.634,4.477,0.448,overseas,448
50046,50658,30.969,0.198,0.02,coastal,20
50047,50110,28.058,0.935,0.982,road,982
50047,50324,95.146,3.172,3.33,road,3330
50048,50082,275.621,9.187,9.647,road,9647
50048,50084,231.751,7.725,8.111,road,8111
50048,50289,59.378,1.979,2.078,road,2078
50048,50470,191.687,6.39,6.709,road,6709
50049,50110,62.478,0.549,0.055,coastal,55
50049,50205,38.091,1.27,1.333,road,1333
50049,50226,102.066,3.402,3.572,road,3572
50049,50336,245.625,1.565,0.157,coastal,157
50049,50358,257.126,1.621,0.162,coastal,162
50050,50162,30.972,0.278,0.028,slowcoast,28
50050,50169,368.001,2.23,0.223,coastal,223
50050,50557,69.101,0.379,0.038,coastal,38
50050,50603,374.068,1.907,0.191,coastal,191
50051,50066,83.284,0.542,0.054,coastal,54
50051,50358,53.105,1.77,1.859,road,1859
50051,50520,32.332,0.258,0.026,coastal,26
50052,50003,109.155,3.639,3.82,road,3820
50052,50298,96.213,3.207,3.367,road,3367
50052,50413,109.691,3.656,3.839,road,3839
50053,50062,94.639,3.155,3.312,road,3312
50053,50083,191.539,1.596,0.651,fastdown,651
50053,50099,27.034,0.416,0.092,downstream,92
50054,50157,55.971,1.866,1.959,road,1959
50054,50337,95.175,3.172,3.331,road,3331
50055,50348,55.19,1.84,1.932,road,1932
50055,50395,165.928,1.383,0.564,fastdown,564
50056,50001,54.539,1.818,1.909,road,1909
50056,50314,126.177,4.206,4.416,road,4416
50056,50370,32.01,1.067,1.12,road,1120
50057,50059,185.733,6.191,6.501,road,6501
50057,50157,121.109,4.037,4.239,road,4239
50057,50242,257.891,3.968,0.877,downstream,877
50058,50727,107.811,3.594,3.773,road,3773
50058,50744,149.43,4.981,5.23,road,5230
50059,50057,185.733,6.191,6.501,road,6501
50059,50091,47.61,1.587,1.666,road,1666
50059,50142,125.776,4.193,4.402,road,4402
50060,50299,196.321,6.544,6.871,road,6871
50060,50368,116.786,3.893,4.088,road,4088
50061,50142,94.326,3.144,3.301,road,3301
50061,50231,179.267,5.976,6.274,road,6274
50061,50774,121.241,4.041,4.243,road,4243
50062,50053,94.639,3.155,3.312,road,3312
50062,50424,51.966,1.732,1.819,road,1819
50063,50012,237.332,7.911,8.307,road,8307
50063,50157,121.054,4.035,4.237,road,4237
50063,50270,79.797,2.66,2.793,road,2793
50064,50233,67.024,2.234,2.346,road,2346
50064,50333,95.329,3.178,3.337,road,3337
50065,50167,175.803,1.149,0.115,coastal,115
50065,50379,97.688,0.698,0.07,coastal,70
50066,50022,423.19,3.602,0.36,coastal,360
50066,50051,83.284,0.685,0.068,coastal,68
50066,50086,133.554,0.855,0.086,coastal,86
50066,50102,71.411,2.38,2.499,road,2499
50067,50092,45.894,1.53,1.606,road,1606
50067,50106,55.602,1.853,1.946,road,1946
50067,50161,39.775,1.326,1.392,road,1392
50068,50033,68.37,2.279,2.393,road,2393
50068,50239,95.979,3.199,3.359,road,3359
50068,50372,65.737,2.191,2.301,road,2301
50069,50007,23.523,0.784,0.823,road,823
50069,50009,30.114,1.004,1.054,road,1054
50069,50113,15.674,0.522,0.549,road,549
50069,50381,76.2,2.54,2.667,road,2667
50070,50130,379.098,12.637,13.268,road,13268
50072,50092,100.738,3.358,3.526,road,3526
50072,50139,73.416,2.447,2.57,road,2570
50072,50771,115.885,3.863,4.056,road,4056
50073,50405,85.522,0.517,0.052,coastal,52
50073,50452,395.694,3.522,0.352,overseas,352
50073,50630,252.063,2.143,0.214,coastal,214
50073,50643,38.614,0.28,0.028,coastal,28
50074,50046,34.21,1.14,1.197,road,1197
50074,50213,43.156,1.439,1.51,road,1510
50075,50093,73.054,2.435,2.557,road,2557
50075,50744,294.636,9.821,10.312,road,10312
50076,50219,51.184,1.706,1.791,road,1791
50076,50430,65.986,2.2,2.309,road,2309
50077,50012,31.657,0.264,0.108,fastdown,108
50077,50468,65.536,1.311,0.446,fastup,446
50078,50172,48.58,1.619,1.7,road,1700
50078,50174,87.732,2.924,3.071,road,3071
50078,50261,37.784,1.259,1.322,road,1322
50078,50754,63.525,0.529,0.216,fastdown,216
50079,50154,132.58,5.303,0.902,upstream,902
50079,50263,123.485,4.116,4.322,road,4322
50079,50282,159.99,3.555,0.544,downstream,544
50079,50375,94.184,3.139,3.296,road,3296
50080,50140,122.77,4.092,4.297,road,4297
50080,50304,86.706,2.89,3.035,road,3035
50080,50760,37.738,1.258,1.321,road,1321
50081,50009,62.476,2.083,2.187,road,2187
50081,50010,24.658,0.822,0.863,road,863
50082,50048,275.621,9.187,9.647,road,9647
50082,50084,216.91,7.23,7.592,road,7592
50082,50128,178.071,5.936,6.232,road,6232
50083,50053,191.539,3.831,1.302,fastup,1302
50083,50100,58.819,1.961,2.059,road,2059
50083,50137,80.862,2.695,2.83,road,2830
50084,50048,231.751,7.725,8.111,road,8111
50084,50082,216.91,7.23,7.592,road,7592
50084,50283,632.14,3.761,0.376,coastal,376
50084,50464,404.766,2.676,0.268,coastal,268
50085,50035,111.903,2.035,0.38,downstream,380
50085,50105,121.594,8.106,0.827,upstream,827
50085,50768,38.857,1.295,1.36,road,1360
50086,50066,133.554,1.147,0.115,coastal,115
50086,50159,169.366,1.082,0.108,coastal,108
50086,50377,64.436,2.148,2.255,road,2255
50086,50530,92.614,0.614,0.061,coastal,61
50086,50533,142.655,0.888,0.089,coastal,89
50087,50107,153.993,5.133,5.39,road,5390
50087,50391,28.774,0.959,1.007,road,1007
50088,50033,131.954,4.398,4.618,road,4618
50088,50121,415.866,2.539,0.254,coastal,254
50088,50252,122.001,4.067,4.27,road,4270
50088,50435,161.263,3.225,1.097,fastup,1097
50088,50464,352.911,2.2,0.22,coastal,220
50089,50201,64.909,2.164,2.272,road,2272
50089,50336,81.06,2.702,2.837,road,2837
50089,50753,56.194,1.873,1.967,road,1967
50090,50207,14.072,0.469,0.493,road,493
50090,50730,101.318,3.377,3.546,road,3546
50091,50059,47.61,1.587,1.666,road,1666
50091,50416,159.412,15.941,1.084,upstream,1084
50091,50429,138.668,2.133,0.471,downstream,471
50092,50067,45.894,1.53,1.606,road,1606
50092,50072,100.738,3.358,3.526,road,3526
50092,50364,169.206,2.256,0.575,downstream,575
50092,50428,63.341,6.334,0.431,upstream,431
50093,50075,73.054,2.435,2.557,road,2557
50093,50097,123.282,4.109,4.315,road,4315
50093,50285,69.535,2.318,2.434,road,2434
50093,50313,155.046,5.168,5.427,road,5427
50093,50372,138.609,4.62,4.851,road,4851
50094,50014,65.013,0.488,0.049,coastal,49
50094,50243,62.622,2.087,2.192,road,2192
50094,50346,64.062,2.135,2.242,road,2242
50094,50452,494.265,4.161,0.416,overseas,416
50094,50637,45.97,0.307,0.031,coastal,31
50095,50126,108.678,3.623,3.804,road,3804
50095,50404,133.636,4.455,4.677,road,4677
50096,50115,122.205,2.444,0.831,fastup,831
50096,50210,109.813,0.915,0.373,fastdown,373
50097,50093,123.282,4.109,4.315,road,4315
50097,50422,121.838,4.061,4.264,road,4264
50098,50235,72.382,2.413,2.533,road,2533
50098,50365,11.326,0.378,0.396,road,396
50098,50412,38.793,1.293,1.358,road,1358
50099,50041,114.483,1.761,0.389,downstream,389
50099,50053,27.034,0.541,0.184,fastup,184
50099,50416,124.72,4.157,4.365,road,4365
50100,50001,50.135,1.671,1.755,road,1755
50100,50083,58.819,1.961,2.059,road,2059
50101,50235,113.332,0.584,0.058,coastal,58
50101,50330,87.884,0.589,0.059,coastal,59
50101,50411,185.056,1.226,0.123,coastal,123
50102,50066,71.411,2.38,2.499,road,2499
50102,50193,39.183,1.306,1.371,road,1371
50103,50374,140.302,4.677,4.911,road,4911
50103,50387,69.427,2.314,2.43,road,2430
50104,50113,35.56,1.185,1.245,road,1245
50104,50357,38.984,1.299,1.364,road,1364
50105,50085,121.594,1.013,0.413,fastdown,413
50105,50344,56.047,1.868,1.962,road,1962
50105,50420,43.817,2.921,0.298,upstream,298
50105,50768,80.008,2.667,2.8,road,2800
50106,50067,55.602,1.853,1.946,road,1946
50107,50087,153.993,5.133,5.39,road,5390
50107,50188,146.781,4.893,5.137,road,5137
50107,50230,672.492,4.019,0.402,coastal,402
50107,50260,123.464,4.115,4.321,road,4321
50107,50286,603.381,4.059,0.406,overseas,406
