id,name,lat,lon
221,Nieh Jung-chen,,
222,Niu Hui-lin,,
223,Niu Hui-sheng,,
224,Tseng Kuo-fan,,
225,Ch'en Kuang-fu,,
226,Butterfield,,
227,Chi Ch'ao-ting,,
228,Henry Morgenthau,,
229,Hsi Te-mou,,
230,Pei Tsu-yi,,
231,Thomas Cook,,
232,Ch'en Kung-po,,
233,Adolf Joffe,,
234,Ch'en Chih-mei,,
235,Ch'en Kuo-fu,,
236,Ch'en Tu-hsiu,,
237,Chou Fo-hai,,
238,Ku Meng-yu,,
239,Li Ta-chao,,
240,T'an P'ing-shan,,
241,Teng Yen-ta,,
242,Wu Chih-hui,,
243,Ch'en Li-fu,,
244,Ch'en Po-ta,,
245,Ch'en Pu-lei,,
246,Chang Jen-chieh,,
247,Chao Tai-wen,,
248,Chu Ming,,
249,Fang Chih-min,,
250,Hu Yuan-t'an,,
251,Li Shih-tseng,,
252,Michael Borodin,,
253,T. Ch'in-shih,,
254,T. Yenyu,,
255,Tai Chi-t'ao,,
256,Ting Wei-fen,,
257,Yeh Ch'u-ts'ang,,
258,Bogomolov,,
259,Ch'ien Yung-ming,,
260,Chang Li-sheng,,
261,Chu Chia-hua,,
262,Dean Roscoe Pound,,
263,Hsu En-tseng,,
264,J. Leighton Stuart,,
265,Jen T'ai,,
266,Joseph Stalin,,
267,Ku Yu-hsiu,,
268,Lai Lien,,
269,Li Yung-ch'ing,,
270,P'an Han-nien,,
271,Sun Lu-ch'ing,,
272,Tai Li,,
273,Thomas E. Dewey,,
274,Ting Mo-ts'un,,
275,Wang Shih-chieh,,
276,Ch'en Lu,,
277,Chang Chih-tung,,
278,Lu Cheng-hsiang,,
279,Sun Pao-ch'i,,
280,Tai Hung-tz'u,,
281,Chang Chi,,
282,Chang Po-chun,,
283,Chiang Kuang-nai,,
284,Ho Lung,,
285,T'ang Sheng-chih,,
286,Tai Chi,,
287,Ts'ai T'ing-k'ai,,
288,Yao Yu-p'ing,,
289,Yeh T'ing,,
290,Ch'en Pai-ch'en,,
291,Hung Shen,,
292,Mandara,,
293,Shih Ta-k'ai,,
294,T'ien Han,,
295,Tso Ming,,
296,Ch'en Pi-chun,,
297,Ch'en Ch'ang-tsu,,
298,Ch'en Chun-pu,,
299,Ch'en Yao-tsu,,
300,Ch'iu Chin,,
301,Ch'u Min-i,,
302,Ho Hsiang-ning,,
303,Soong Ch'ing-ling,,
304,Chang Chen,,
305,Chiang Chieh-shih,,
306,Chou Shu-jen,,
307,Ho Kan-chih,,
308,Hsin shih-chi,,
309,Li Li-san,,
310,Chou Shu-ren,,
311,Wang Cheng-t'ing,,
312,Hsu Shu-cheng,,
313,Hsu Tao-lin,,
314,P'an Kung-chan,,
315,Wang Ch'ung-hui,,
316,Webster,,
317,Ch'en San-li,,
318,Ch'en Weilin,,
319,Chang Chien,,
320,Cheng Hsiao-hsu,,
321,Hsu Jen-chu,,
322,Huang T'ing-chien,,
323,Huang Tsun-hsien,,
324,K'ang Yu-wei,,
325,Kuang-hsu,,
326,Kuo Sung-t'ao,,
327,Lin Hsu,,
328,Liu K'un-i,,
329,Liu Kuang-ti,,
330,Lo Cheng-i,,
331,Lo Hsing-ssu,,
332,Ma Ch'i-ch'ang,,
333,T. Chin-ch'ing,,
334,T. Shih-fu,,
335,T. T'ung-po,,
336,T. Yu-ming,,
337,Ting Hui-k'ang,,
338,Ting Jih-ch'ang,,
339,Wang Shih-chen,,
340,Wang Shu-nan,,
341,Wang Wen-shao,,
342,Wang Yang-ming,,
343,Wu Ch'ang-ch'ing,,
344,Wu Pao-ch'u,,
345,Yang Jui,,
346,Yu Ta-wei,,
347,Ch'en Shao-k'uan,,
348,George VI,,
349,Kuei Yung-ch'ing,,
350,Ch'en Shao-pai,,
351,Andrew P. Happer,,
352,Ch'en Meng-nan,,
353,Ch'en Tzu-ch'iao,,
354,Cheng Shih-liang,,
355,Feng Tzu-yu,,
356,Hsiung Fei,,
357,James Cantlie,,
358,Lu Hao-tung,,
359,Ou Feng-ch'ih,,
360,Ch'en Yun,,
361,Hsiang Chung-fa,,
362,K'ang Sheng,,
363,Karl Radek,,
364,Pavel Mif,,
365,Po Ku,,
366,Shen Tse-min,,
367,Teng Chung-hsia,,
368,Wang Chia-hsiang,,
369,Wang Ming,,
370,Yun Tai-ying,,
371,Ch'en Shu-jen,,
372,Cheng Kuan-kung,,
373,Cheng T'ien-hsi,,
374,Chu Lien,,
375,Hsieh Ying-po,,
376,Mao Tzu-ch'uan,,
377,Ch'en T'an-ch'iu,,
378,Chen Pan-tsu,,
379,Gregory Voitinsky,,
380,Hsu Ch'ien-chih,,
381,Hsu Chieh,,
382,Li Han-chun,,
383,Lin Chi-lu,,
384,Teng Fa,,
385,Tung Pi-wu,,
386,Ch'en Ta,,
387,Bruno Lasker,,
388,Ethelbert Stewart,,
389,F. H. Giddings,,
390,Fei Hsiao-t'ung,,
391,Frank Lorimer,,
392,Lo Lung-chi,,
393,Margaret Sanger,,
394,R. E. Chaddock,,
395,Reed,,
396,Stuart Rice,,
397,Warren Thompson,,
398,William F. Ogburn,,
399,William L. Holland,,
400,Wu Ching-ch'ao,,
401,Ch'u Ch'iu-pai,,
402,Chang Shih-chao,,
403,Jen Pi-shih,,
404,John Dewey,,
405,Leon Trotsky,,
406,Liu Fu,,
407,Liu Shao-ch'i,,
408,Maring,,
409,P'eng Shu-chih,,
410,Po Wen-wei,,
411,T. Lieh-wu,,
412,Ch'en Wen-k'uan,,
413,Amne Machin,,
414,Lin Ta-kang,,
415,Milton E. Miles,,
416,Moon F. Chin,,
417,Soong Mei-ling,,
418,Ch'en Yen-nien,,
419,Ch'en Ch'iao-nien,,
420,Chao Shih-yen,,
421,Hsiang Ching-yu,,
422,Lo I-nung,,
423,Su Chao-cheng,,
424,Ts'ai Ho-sen,,
425,Wang Jo-fei,,
426,Chang Ting-ch'eng,,
427,Chang Yun-i,,
428,Chu Teh,,
429,David D. Barrett,,
430,Hsiang Ying,,
431,Jao Shu-shih,,
432,Lo Chih,,
433,Su Yu,,
434,T'an Chen-lin,,
435,Teng Hsiao-p'ing,,
436,Yang Sen,,
437,Chou Feng-ch'i,,
438,Chou Hsiang-hsien,,
439,Chu Keng-sheng,,
440,Hsia Ch'ao,,
441,Ko Ching-en,,
442,Liu Chien-hsu,,
443,Lu Yung-hsiang,,
444,Shen Hung-lieh,,
445,Wei Tao-ming,,
446,Ch'en Yin-k'o,,
447,Chao Yuen-ren,,
448,Chiang T'ing-fu,,
449,H. H. Dubs,,
450,Hsu Ti-shan,,
451,Li Po,,
452,Po Chu-i,,
453,T. F. Tsiang,,
454,W. E. Soothill,,
455,Yuan Po,,
456,Ch'en Yuan,,
457,Chang Huai,,
458,Chiu Wu-tai-shih,,
459,Kuwabara Jitsuzo,,
460,Li Shu-hua,,
